iter	RMSE
0	21.07194953
1	20.93769509
2	20.74067754
3	20.56003124
4	20.4143599
5	20.2569019
6	20.03097283
7	19.83843225
8	19.60524036
9	19.49644075
10	19.29081207
11	19.14219243
12	18.92091248
13	18.75761149
14	18.56328912
15	18.43030049
16	18.21813058
17	18.07366729
18	17.9388653
19	17.73360835
20	17.59320667
21	17.44248525
22	17.39711563
23	17.26677684
24	17.09159624
25	17.00433161
26	16.85158247
27	16.72304394
28	16.59131435
29	16.42477377
30	16.29717346
31	16.18290785
32	16.02920367
33	15.87182053
34	15.73170943
35	15.69740589
36	15.63610149
37	15.47867478
38	15.36609752
39	15.29693311
40	15.18561202
41	15.07459233
42	14.94251256
43	14.84605187
44	14.73894218
45	14.64745826
46	14.57267349
47	14.45782937
48	14.33364503
49	14.26008749
50	14.16074791
51	14.03306847
52	13.96510324
53	13.86951557
54	13.77621692
55	13.67459679
56	13.54893027
57	13.4602988
58	13.37537419
59	13.29390051
60	13.22728609
61	13.13720795
62	13.04688662
63	12.94965201
64	12.87137967
65	12.78172618
66	12.72589542
67	12.63051785
68	12.58301083
69	12.51948606
70	12.46535836
71	12.40986407
72	12.33274924
73	12.24145101
74	12.16021575
75	12.08469524
76	12.04016045
77	11.98838436
78	11.93348631
79	11.87861741
80	11.79478398
81	11.70569756
82	11.64238446
83	11.55458608
84	11.48893099
85	11.41279248
86	11.3669109
87	11.33830242
88	11.27063931
89	11.22550201
90	11.16859653
91	11.11513665
92	11.07011321
93	11.01464175
94	10.98187759
95	10.91920096
96	10.87478222
97	10.81834459
98	10.78459653
99	10.74145644
100	10.68318435
101	10.66563998
102	10.60886707
103	10.56205389
104	10.49513897
105	10.44431134
106	10.3830226
107	10.36330412
108	10.34706829
109	10.29922275
110	10.27064092
111	10.20340364
112	10.18672168
113	10.11928055
114	10.0664831
115	10.0331628
116	9.964986881
117	9.949361131
118	9.895669092
119	9.844797496
120	9.829016317
121	9.778020374
122	9.720187136
123	9.655176796
124	9.620931901
125	9.60124216
126	9.575155215
127	9.53418438
128	9.521186702
129	9.495697113
130	9.447967739
131	9.421873618
132	9.363206155
133	9.30401761
134	9.293372098
135	9.259363322
136	9.219847648
137	9.162369879
138	9.159655978
139	9.119938067
140	9.069805167
141	9.036749569
142	8.98812743
143	8.978681243
144	8.944620111
145	8.936523245
146	8.899888378
147	8.887375609
148	8.863416507
149	8.82236274
150	8.788534594
151	8.768791866
152	8.748435207
153	8.695706045
154	8.688610581
155	8.681726435
156	8.652166092
157	8.621334168
158	8.620087072
159	8.6136204
160	8.560664299
161	8.517227479
162	8.471600226
163	8.460403524
164	8.420368637
165	8.393189593
166	8.355467402
167	8.326961969
168	8.294466496
169	8.255556758
