iter	Passed	Remaining
0	11	11924
1	15	7890
2	21	7241
3	33	8275
4	44	8939
5	57	9534
6	67	9510
7	81	10065
8	85	9381
9	93	9229
10	103	9269
11	115	9522
12	123	9358
13	135	9543
14	142	9325
15	151	9337
16	163	9448
17	175	9591
18	188	9724
19	197	9689
20	209	9749
21	216	9638
22	220	9359
23	231	9431
24	241	9419
25	245	9182
26	257	9279
27	268	9335
28	280	9382
29	286	9257
30	291	9122
31	295	8939
32	304	8932
33	309	8786
34	320	8831
35	324	8690
36	332	8642
37	338	8557
38	349	8614
39	357	8585
40	362	8490
41	374	8544
42	384	8561
43	396	8609
44	407	8656
45	419	8701
46	431	8739
47	437	8669
48	448	8706
49	455	8663
50	462	8604
51	467	8526
52	475	8500
53	487	8534
54	490	8432
55	500	8436
56	506	8379
57	514	8349
58	518	8271
59	524	8213
60	535	8249
61	547	8282
62	559	8314
63	565	8265
64	574	8258
65	586	8305
66	594	8285
67	606	8308
68	610	8233
69	623	8283
70	630	8254
71	648	8357
72	656	8337
73	672	8420
74	679	8377
75	691	8404
76	702	8415
77	707	8361
78	713	8323
79	728	8373
80	734	8336
81	747	8373
82	762	8421
83	776	8465
84	789	8499
85	801	8522
86	810	8504
87	816	8464
88	825	8452
89	834	8438
90	848	8478
91	861	8507
92	873	8523
93	885	8539
94	897	8545
95	908	8558
96	917	8536
97	928	8550
98	941	8565
99	949	8546
100	959	8543
101	969	8532
102	988	8605
103	1011	8714
104	1033	8810
105	1042	8791
106	1051	8776
107	1057	8730
108	1064	8703
109	1072	8678
110	1083	8674
111	1095	8688
112	1103	8661
113	1112	8648
114	1123	8646
115	1127	8589
116	1137	8582
117	1142	8536
118	1150	8518
119	1161	8519
120	1166	8476
121	1177	8476
122	1189	8484
123	1198	8467
124	1209	8467
125	1216	8440
126	1227	8434
127	1238	8438
128	1242	8391
129	1249	8360
130	1256	8331
131	1259	8281
132	1268	8271
133	1280	8274
134	1288	8254
135	1297	8244
136	1305	8226
137	1317	8228
138	1323	8198
139	1332	8187
140	1344	8192
141	1360	8221
142	1373	8230
143	1391	8274
144	1420	8378
145	1436	8402
146	1452	8430
147	1462	8417
148	1470	8396
149	1488	8436
150	1500	8435
151	1514	8447
152	1520	8419
153	1533	8426
154	1541	8401
155	1547	8374
156	1551	8332
157	1569	8362
158	1575	8332
159	1587	8332
160	1601	8346
161	1619	8377
162	1634	8390
163	1645	8386
164	1660	8402
165	1675	8418
166	1687	8418
167	1703	8438
168	1718	8447
169	1731	8456
170	1745	8463
171	1759	8468
172	1768	8452
173	1781	8454
174	1792	8450
175	1804	8446
176	1816	8446
177	1828	8444
178	1840	8440
179	1853	8441
180	1864	8437
181	1874	8425
182	1886	8421
183	1898	8418
184	1913	8429
185	1926	8429
186	1940	8436
187	1958	8458
188	1973	8467
189	1989	8479
190	2001	8477
191	2007	8447
192	2019	8445
193	2033	8446
194	2045	8443
195	2053	8421
196	2065	8417
197	2077	8415
198	2086	8398
199	2095	8380
200	2106	8373
201	2118	8368
202	2123	8337
203	2134	8327
204	2146	8325
205	2159	8322
206	2171	8318
207	2184	8317
208	2197	8315
209	2210	8314
210	2222	8309
211	2235	8307
212	2245	8295
213	2256	8289
214	2268	8282
215	2279	8274
216	2290	8266
217	2300	8251
218	2312	8246
219	2324	8241
220	2337	8240
221	2350	8236
222	2363	8233
223	2374	8226
224	2386	8219
225	2398	8212
226	2409	8205
227	2421	8198
228	2433	8192
229	2445	8187
230	2457	8181
231	2469	8174
232	2481	8168
233	2492	8160
234	2504	8153
235	2516	8146
236	2528	8139
237	2540	8133
238	2552	8128
239	2564	8121
240	2576	8114
241	2588	8106
242	2600	8099
243	2611	8092
244	2623	8084
245	2634	8075
246	2646	8068
247	2660	8065
248	2673	8063
249	2686	8059
250	2698	8051
251	2709	8042
252	2721	8036
253	2733	8028
254	2746	8024
255	2759	8019
256	2771	8012
257	2783	8004
258	2794	7994
259	2805	7985
260	2817	7976
261	2828	7968
262	2840	7959
263	2852	7951
264	2864	7945
265	2877	7938
266	2888	7929
267	2900	7921
268	2912	7914
269	2923	7905
270	2935	7895
271	2947	7888
272	2959	7880
273	2972	7875
274	2983	7866
275	2995	7857
276	3007	7848
277	3018	7840
278	3030	7830
279	3041	7821
280	3053	7812
281	3065	7804
282	3078	7800
283	3091	7792
284	3103	7785
285	3114	7776
286	3126	7766
287	3138	7757
288	3149	7747
289	3163	7743
290	3177	7741
291	3189	7733
292	3201	7724
293	3212	7714
294	3223	7704
295	3235	7694
296	3246	7684
297	3257	7674
298	3270	7667
299	3282	7658
300	3291	7644
301	3303	7634
302	3315	7625
303	3324	7611
304	3335	7601
305	3348	7593
306	3361	7588
307	3375	7584
308	3390	7582
309	3402	7573
310	3413	7562
311	3425	7552
312	3436	7542
313	3447	7532
314	3458	7521
315	3470	7511
316	3482	7502
317	3494	7495
318	3506	7485
319	3518	7475
320	3529	7465
321	3540	7455
322	3552	7445
323	3564	7436
324	3575	7426
325	3587	7416
326	3599	7409
327	3611	7399
328	3622	7388
329	3634	7379
330	3646	7369
331	3657	7359
332	3669	7350
333	3681	7340
334	3693	7331
335	3705	7322
336	3717	7312
337	3728	7302
338	3740	7292
339	3751	7282
340	3763	7273
341	3776	7266
342	3789	7258
343	3801	7248
344	3814	7241
345	3825	7230
346	3836	7220
347	3848	7209
348	3859	7199
349	3871	7189
350	3882	7179
351	3894	7169
352	3908	7163
353	3920	7154
354	3931	7143
355	3943	7133
356	3954	7123
357	3968	7116
358	3979	7106
359	3991	7095
360	4004	7088
361	4016	7078
362	4028	7068
363	4039	7057
364	4051	7047
365	4062	7037
366	4075	7028
367	4087	7019
368	4099	7009
369	4110	6998
370	4122	6988
371	4133	6978
372	4144	6967
373	4156	6956
374	4167	6946
375	4178	6934
376	4190	6924
377	4202	6914
378	4216	6908
379	4227	6898
380	4239	6886
381	4250	6876
382	4261	6865
383	4273	6855
384	4285	6844
385	4296	6834
386	4307	6822
387	4319	6812
388	4330	6802
389	4342	6791
390	4353	6781
391	4365	6770
392	4376	6760
393	4388	6749
394	4400	6739
395	4412	6729
396	4425	6722
397	4440	6715
398	4453	6708
399	4465	6697
400	4476	6687
401	4488	6677
402	4501	6668
403	4514	6660
404	4525	6649
405	4537	6638
406	4550	6629
407	4562	6619
408	4573	6608
409	4586	6600
410	4598	6590
411	4610	6579
412	4621	6569
413	4634	6559
414	4646	6550
415	4661	6543
416	4674	6534
417	4686	6524
418	4697	6514
